"SUBRAHMANYAM","HIST 135A","Global Interactions In Early Mod Age 14001800","Parker","https://coverimages.verbacompete.com/485fa56a-76ef-5c1d-8416-c4808b7cc828.jpg","9780521688673","141541"
"YIRUSH","HIST 138A","Colonial America ","Taylor","https://coverimages.verbacompete.com/f8be41b1-5907-54d5-b02d-83e8c029ba22.jpg","9780199766239","141542"
"YIRUSH","HIST 138A","Lancaster Treaty Of 1744","Merrell","https://coverimages.verbacompete.com/a3f8a8e6-c860-527b-9035-ec629d77cb82.jpg","9780312454142","141542"
"MERANZE","HIST 13A","Give Me Liberty ","Foner","https://coverimages.verbacompete.com/7b74cef9-b014-5eec-88e9-43625bdbc370.jpg","9780393920307","141543"
"YEAGER","HIST 141A","Empire Of Cotton ","Beckert","https://coverimages.verbacompete.com/6a6eed32-599e-516e-b420-3199c650aaf7.jpg","9780375414145","141554"
"YEAGER","HIST 141A","Empire Of Wealth","Gordon","https://coverimages.verbacompete.com/eb2da041-c534-5642-9db3-058c75127fd5.jpg","9780060505127","141554"
"YEAGER","HIST 141A","History Of The American Economy (W/Issues In American Economic History)","Walton","https://coverimages.verbacompete.com/no_image.jpg","9780495959601","141554"
"COREY","HIST 142B","American Intellectual Tradition","Hollinger","https://coverimages.verbacompete.com/03c1a506-2d25-5b67-89cb-6238298714d7.jpg","9780190262334","141555"
"COREY","HIST 142B","Between The World & Me","Coates","https://coverimages.verbacompete.com/d2833d1c-45f7-5304-b886-fefc00b1e22e.jpg","9780812993547","141555"
"COREY","HIST 142B","Chronicles (V1)","Dylan","https://coverimages.verbacompete.com/d1e13d17-f34a-5d92-ae7f-3827953daa36.jpg","9780743244589","141555"
"COREY","HIST 142B","Howl & Other Poems","Ginsberg","https://coverimages.verbacompete.com/53b17c1b-086a-5fbe-a8f5-d727572cf434.jpg","9780872860179","141555"
"ROLSTON","HIST 143A","Documents Of Amer Const & Legal Hist (V1)","Urofsky","https://coverimages.verbacompete.com/1d1ffa51-3829-59eb-b376-01a85d334376.jpg","9780195323115","141556"
"ROLSTON","HIST 143A","March Of Liberty ","Urofsky","https://coverimages.verbacompete.com/74fb12ee-b3c7-5e8c-a0b5-a4eae769d77e.jpg","9780195382730","141556"
"MADLEY","HIST 149A","1491","Mann","https://coverimages.verbacompete.com/e5b28010-2861-5adc-bd4a-bf6b93fe0f41.jpg","9781400032051","141558"
"MADLEY","HIST 149A","Cherokee Nation & The Trail Of Tears","Perdue","https://coverimages.verbacompete.com/e5941a25-e233-5511-a677-16d4f02fa9a1.jpg","9780143113676","141558"
"MADLEY","HIST 149A","Deadly Medicine ","Mancall","https://coverimages.verbacompete.com/fe04aaac-26c7-5ca4-875b-55940513d167.jpg","9780801480447","141558"
"MADLEY","HIST 149A","First Peoples","Calloway","https://coverimages.verbacompete.com/cdeddf2d-3911-58d2-bf1c-7f6778f46e39.jpg","9781457696244","141558"
"MADLEY","HIST 149A","Iroquois Diplomacy On Early American Frontier","Shannon","https://coverimages.verbacompete.com/db5c86e9-7ecf-5503-8742-c33d62cb5aa2.jpg","9780143115298","141558"
"MADLEY","HIST 149A","Pueblo Revolt Of 1680","Knaut","https://coverimages.verbacompete.com/34b57c28-dc73-526b-9671-615716a15b9f.jpg","9780806129921","141558"
"WILSON","HIST 153","Empires Nations & Families","Hyde","https://coverimages.verbacompete.com/ba0a61eb-75e1-592c-9f2b-254518935fcd.jpg","9780062225153","141559"
"WILSON","HIST 153","Frontiers ","Hine","https://coverimages.verbacompete.com/65f7556d-0dbf-59cc-ba26-1f3bf0d3380f.jpg","9780300136203","141559"
"WILSON","HIST 153","How Cities Won The West","Abbott","https://coverimages.verbacompete.com/fe8db5b8-04a5-5bc5-9328-c4bd144e9f7e.jpg","9780826333131","141559"
"WILSON","HIST 153","Shadows At Dawn (Fwd Limerick)","Jacoby","https://coverimages.verbacompete.com/a9e6e9d5-af9c-5860-91e3-abbd1c0c352a.jpg","9780143116219","141559"
"LIU","HIST 179A","Greatest Benefit To Mankind","Porter","https://coverimages.verbacompete.com/9b253168-06eb-5669-ba98-9ec46fc707e0.jpg","9780393319804","141569"
"YIRUSH","HIST 187D","Birth Of Republic ","Morgan","https://coverimages.verbacompete.com/49086fb8-c019-50ea-82b5-fa01baea78ac.jpg","9780226923420","141570"
"YIRUSH","HIST 187D","Capitalism & New Social Ord","Appleby","https://coverimages.verbacompete.com/1b1072bf-cfba-5419-8efc-213531fa9223.jpg","9780814705834","141570"
"YIRUSH","HIST 187D","Constitutional Origins Of The American Revolution","Greene","https://coverimages.verbacompete.com/27bfd13c-cd4d-51f0-bb10-8f39555bd233.jpg","9780521132305","141570"
"YIRUSH","HIST 187D","Economic Interpretation Of Constitution United States","Beard","https://coverimages.verbacompete.com/742c56ad-147e-5aa6-8f8f-d7af1884a0fc.jpg","9780486433653","141570"
"YIRUSH","HIST 187D","Forced Founders","Holton","https://coverimages.verbacompete.com/0c8412ed-a5f4-50d1-9de4-3d34254279b9.jpg","9780807847848","141570"
"YIRUSH","HIST 187D","Ideological Origins Of The American Revolution","Bailyn","https://coverimages.verbacompete.com/585289a0-3d9f-5ed5-af3a-ee0e96179f8c.jpg","9780674443020","141570"
"YIRUSH","HIST 187D","James Madison","Brookhiser","https://coverimages.verbacompete.com/56bd85b3-98eb-540a-8e10-e004cd06cae1.jpg","9780465063802","141570"
"YIRUSH","HIST 187D","Minutemen & Their World","Gross","https://coverimages.verbacompete.com/4e6c2019-de51-52db-9b62-586ed1413cb4.jpg","9780809001200","141570"
"YIRUSH","HIST 187D","Radicalism Of Amer Revolution","Wood","https://coverimages.verbacompete.com/c339ca3e-fc0d-5299-91de-d4c03ddc26ac.jpg","9780679736882","141570"
"STAFF","HIST 187O","An American Genocide","Madley","https://coverimages.verbacompete.com/59d85324-fb85-58f6-ba82-74512dc93534.jpg","9780300181364","141573"
"STAFF","HIST 187O","Genocide","Jones","https://coverimages.verbacompete.com/0b584f2f-5f92-52e7-a85e-f66fd0e7a334.jpg","9780415486194","141573"
"STAFF","HIST 187O","History Of Terrorism","Chaliand","https://coverimages.verbacompete.com/c261104a-b578-5c2f-a8a7-d51a48edc63b.jpg","9780520247093","141573"
"STAFF","HIST 187O","Reigns Of Terror","Marchak","https://coverimages.verbacompete.com/63b9c2e4-56a7-526f-8b7e-c6771afdecd6.jpg","9780773526426","141573"
"STAFF","HIST 187O","Voices Of Terror","Laqueur","https://coverimages.verbacompete.com/916d1cae-6c72-5c16-8f5d-bad19a792a53.jpg","9781594290350","141573"
"URDANK","HIST 191C","End Of European Era 1890-Present","Gilbert","https://coverimages.verbacompete.com/ce69009c-a69d-532c-ac03-19df7f87d143.jpg","9780393930405","141578"
"URDANK","HIST 191C","Five Days In London May 1940","Lukacs","https://coverimages.verbacompete.com/0acff5c2-5c14-532b-824b-2876b75ce21b.jpg","9780300084665","141578"
"URDANK","HIST 191C","Hitler 1936 - 1945 ","Kershaw","https://coverimages.verbacompete.com/76ef95a0-3086-511d-8a92-71528901092d.jpg","9780393322521","141578"
