"MOSCHOVAKIS","MATH 114C","Crs Readers Recursion And Computation","Moschovakis","https://coverimages.verbacompete.com/no_image.jpg","9789891809763","160673"
"SANDHU","MATSCI 223","Electronic Thin Film Reliability","Tu","https://coverimages.verbacompete.com/c272df8d-d978-5ecd-8057-1aae2d15b3a0.jpg","9780521516136","160679"
"ZHANG","MGMT 165","E-Crs Marketing Principles For Entrepreneurs","Zhang","https://coverimages.verbacompete.com/no_image.jpg","9780318002279","160680"
"MERIANS","MANG 403\03","Crs The Business Of The Film Industry","Merians","https://coverimages.verbacompete.com/no_image.jpg","9789891809787","160683"
"JEON","KOREA 5","Integrated Korean (Txt) ","Cho","https://coverimages.verbacompete.com/88a6e923-6d37-521e-b640-3a3eb609cd4a.jpg","9780824838133","160684"
"JEON","KOREA 5","Integrated Korean Wkbk ","Park","https://coverimages.verbacompete.com/0535a4ed-2137-56bc-bf77-5645918adf32.jpg","9780824838676","160684"
"JEON","KOREA 5","Integrated Korean (Txt) ","Cho","https://coverimages.verbacompete.com/88a6e923-6d37-521e-b640-3a3eb609cd4a.jpg","9780824838133","160685"
"JEON","KOREA 5","Integrated Korean Wkbk ","Park","https://coverimages.verbacompete.com/0535a4ed-2137-56bc-bf77-5645918adf32.jpg","9780824838676","160685"
"NEUWIRTH","ALC 975","Crs Speaking With Confidence Energy And Focus - An Activity Workbook For The Public Speaking Elective","Alc Duncan","https://coverimages.verbacompete.com/no_image.jpg","9789891807363","160686"
"104","ALC 975","Crs Writing","Alc Reece/Hodges/Pilic","https://coverimages.verbacompete.com/no_image.jpg","9789891803143","160687"
"104","ALC 975","Focus On Vocabulary 2","Schmitt","https://coverimages.verbacompete.com/543f0465-8bbd-59fe-bece-afa21bc70d7d.jpg","9780131376175","160687"
"104","ALC 975","Happiness Advantage","Achor","https://coverimages.verbacompete.com/93beb513-30f0-53e6-8c18-b59c8b049292.jpg","9780307591548","160687"
"104","ALC 975","Real Talk 1","Baker","https://coverimages.verbacompete.com/b5abce52-3c56-50b8-843e-5ffb88660d75.jpg","9780131835450","160687"
"104","ALC 975","Understanding Using English Grammar W/Answer Key","Azar","https://coverimages.verbacompete.com/2cf7c4fd-cbac-50ce-a521-3549090603bd.jpg","9780132333313","160687"
"SHORTER","WLARTS CM140","Coyote Medicine","Mehl Madrona","https://coverimages.verbacompete.com/e30f73b9-0406-5e9c-9d64-7cf843ffbe81.jpg","9780684839974","160689"
"SHORTER","WLARTS CM140","From Where The Bad Wind Blows ?","Mildnerova","https://coverimages.verbacompete.com/2ab7cc0b-5ef5-5649-8a2c-074b0d15567d.jpg","9783643902733","160689"
"SHORTER","WLARTS CM140","Healing With Herbs & Rituals","Torres","https://coverimages.verbacompete.com/91ebf32e-7138-596d-9b43-2a506533c6a0.jpg","9780826339614","160689"
"SHORTER","WLARTS CM140","Trick Of Treatment","Singh","https://coverimages.verbacompete.com/4f5c6fd5-32b3-5a9a-addf-34bce3e82b6b.jpg","9780393337785","160689"
"SHORTER","WLARTS CM140","Witches Midwives & Nurses","Ehrenreich","https://coverimages.verbacompete.com/c4bdae64-ed4b-5446-9979-a848e621aeba.jpg","9781558616615","160689"
"SHORTER","WLARTS CM140","Wondrous Healing","Mcclenon","https://coverimages.verbacompete.com/63632d57-892c-5502-a402-0f5518d31c63.jpg","9780875805900","160689"
"SHORTER","WLARTS CM240","Coyote Medicine","Mehl Madrona","https://coverimages.verbacompete.com/e30f73b9-0406-5e9c-9d64-7cf843ffbe81.jpg","9780684839974","160690"
"SHORTER","WLARTS CM240","From Where The Bad Wind Blows ?","Mildnerova","https://coverimages.verbacompete.com/2ab7cc0b-5ef5-5649-8a2c-074b0d15567d.jpg","9783643902733","160690"
"SHORTER","WLARTS CM240","Healing With Herbs & Rituals","Torres","https://coverimages.verbacompete.com/91ebf32e-7138-596d-9b43-2a506533c6a0.jpg","9780826339614","160690"
"SHORTER","WLARTS CM240","Trick Of Treatment","Singh","https://coverimages.verbacompete.com/4f5c6fd5-32b3-5a9a-addf-34bce3e82b6b.jpg","9780393337785","160690"
"SHORTER","WLARTS CM240","Witches Midwives & Nurses","Ehrenreich","https://coverimages.verbacompete.com/c4bdae64-ed4b-5446-9979-a848e621aeba.jpg","9781558616615","160690"
"SHORTER","WLARTS CM240","Wondrous Healing","Mcclenon","https://coverimages.verbacompete.com/63632d57-892c-5502-a402-0f5518d31c63.jpg","9780875805900","160690"
"102","ALC 975","All Clear 2 ","Fragiadakis","https://coverimages.verbacompete.com/no_image.jpg","9781424099252","160691"
"102","ALC 975","Fund Of Eng Grammar Student W/ Audio / Anskey / Wb","Azar","https://coverimages.verbacompete.com/c241aed4-5710-5b87-9a21-774a69c093e9.jpg","9780132794831","160691"
"102","ALC 975","Interactions 1 ","Tanka","https://coverimages.verbacompete.com/0d9b674c-134e-5cfb-9ec9-6e77de65077f.jpg","9780077831004","160691"
"102","ALC 975","Longman Academic Writing Series Wkbk 2 ","Hogue","https://coverimages.verbacompete.com/4250d6d2-3f83-5403-bf87-ee0a02b17d4e.jpg","9780132912716","160691"
"102","ALC 975","New Password 4 W Mp3 & Peng Rdr Muhammed Ali Etc","Butler","https://coverimages.verbacompete.com/no_image.jpg","9780133895629","160691"
"102","ALC 975","New Password 4 W/ Mp3 & 3 Penguin Readers","Butler","https://coverimages.verbacompete.com/no_image.jpg","9780133895636","160691"
"105","ALC 975","Grammar Sense 4 W/Access Code","Bland","https://coverimages.verbacompete.com/8cd56a4e-6ca9-587b-b4a8-44b1fabd718a.jpg","9780194489195","160692"
"105","ALC 975","New Directions","Gardner","https://coverimages.verbacompete.com/5d6f1bd5-ca7d-544b-a353-f705307b44de.jpg","9780521541725","160692"
"107","ALC 975","Grammar Dimensions 4 W/Grammar Cafe Access","Frodeson","https://coverimages.verbacompete.com/no_image.jpg","9781424090402","160693"
"108","ALC 975","Grammar Connection 5","Cake","https://coverimages.verbacompete.com/bc320301-7b56-5215-a46c-12b9d782b081.jpg","9781424000340","160694"
"VAUGHAN","FRNCH 2","Motifs Enhanced ","Jansma","https://coverimages.verbacompete.com/ae9466c5-6d6d-5aaa-82f4-a142ebdf77c3.jpg","9781305783966","160695"
"101","ALC 975","Dominoes ","Doyle","https://coverimages.verbacompete.com/0eb060a8-72fb-5c76-a885-345f914092bd.jpg","9780194247597","160716"
"101","ALC 975","Grammar In Context Book 1","Elbaum","https://coverimages.verbacompete.com/66fa686e-9a66-5952-ac14-9aee8f243893.jpg","9781305075375","160716"
"101","ALC 975","New Password 3 Wkbk W/Audio Cd","Butler","https://coverimages.verbacompete.com/c8d6adaf-2622-5c2c-9647-8a24b5dc5a34.jpg","9780132463034","160716"
